state/ut,cnfrmd,actv,rcvd,dcsd
Baksa,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Barpeta,13,13,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Biswanath,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Bongaigaon,5,0,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Cachar,34,24,10,0
state/ut,cnfrmd,actv,rcvd,dcsd
Charaideo,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Chirang,6,6,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Darrang,4,4,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhemaji,4,4,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dhubri,9,4,5,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dibrugarh,1,1,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Dima Hasao,7,7,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Goalpara,16,12,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Golaghat,129,120,9,0
state/ut,cnfrmd,actv,rcvd,dcsd
Hailakandi,10,9,0,1
state/ut,cnfrmd,actv,rcvd,dcsd
Hojai,32,32,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Jorhat,11,7,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kamrup,21,20,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kamrup Metropolitan,204,191,10,3
state/ut,cnfrmd,actv,rcvd,dcsd
Karbi Anglong,2,2,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Karimganj,33,31,2,0
state/ut,cnfrmd,actv,rcvd,dcsd
Kokrajhar,13,13,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Lakhimpur,26,25,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Majuli,0,0,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Morigaon,20,14,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nagaon,19,19,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Nalbari,17,13,4,0
state/ut,cnfrmd,actv,rcvd,dcsd
Other State,1,0,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sivasagar,12,12,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Sonitpur,14,14,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
South Salmara Mankachar,4,3,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Tinsukia,6,6,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
Udalguri,3,3,0,0
state/ut,cnfrmd,actv,rcvd,dcsd
West Karbi Anglong,5,5,0,0
